district_,mandal,gp,female,male,transgender
NALGONDA,CHINTHA PALLE,NASARLA PALLI,514,318,3.0
NALGONDA,CHINTHA PALLE,NELVALA PALLI,426,270,
NALGONDA,CHINTHA PALLE,POLEPALLI RAMNAGAR,724,492,1.0
NALGONDA,CHINTHA PALLE,SAKALSEREPALLY,337,214,
NALGONDA,CHINTHA PALLE,TAKKALLA PALLI,466,330,1.0
NALGONDA,CHINTHA PALLE,TEEDED,799,555,1.0
NALGONDA,CHINTHA PALLE,VARKAL,276,167,
NALGONDA,CHINTHA PALLE,VINJAMOOR,1106,686,4.0
NALGONDA,CHITYALA,AIPOOR,474,286,4.0
NALGONDA,CHITYALA,CHINAKAPARTHY,832,514,1.0
NALGONDA,CHITYALA,CHITYAL,1866,952,7.0
NALGONDA,CHITYALA,GUNDRAMPALLY,719,327,1.0
NALGONDA,CHITYALA,NERADA,702,383,2.0
NALGONDA,CHITYALA,PEDAKAPARTHY,968,573,
NALGONDA,CHITYALA,PERE PALLE,273,143,
NALGONDA,CHITYALA,PITTAM PALLE,302,216,
NALGONDA,CHITYALA,SHIVANENI GUDEM,255,161,5.0
NALGONDA,CHITYALA,SUNKENE PALLE,337,220,2.0
NALGONDA,CHITYALA,TALLA YELLEMLA,660,386,4.0
NALGONDA,CHITYALA,URMADLA,724,424,
NALGONDA,CHITYALA,VANIPAKALA,510,302,
NALGONDA,CHITYALA,VELIMINEDU,1222,646,5.0
NALGONDA,CHITYALA,WATTIMARTHY,424,242,
NALGONDA,CHITYALA,YELIKATTA,445,276,
NALGONDA,CHIVVEMLA,AILAPUR,418,216,2.0
NALGONDA,CHIVVEMLA,BEEBIGUDA,539,282,3.0
NALGONDA,CHIVVEMLA,CHENDUPATLA,923,601,4.0
NALGONDA,CHIVVEMLA,CHIVVEMLA,668,390,2.0
NALGONDA,CHIVVEMLA,DURAJ PALLY,889,521,7.0
NALGONDA,CHIVVEMLA,GAYAMVARI GUDA,318,187,1.0
NALGONDA,CHIVVEMLA,GUNJALURU,385,197,1.0
NALGONDA,CHIVVEMLA,KUDAKUDA,1355,848,3.0
NALGONDA,CHIVVEMLA,LAXMI NAIK THANDA,629,450,2.0
NALGONDA,CHIVVEMLA,MUNYA NAIK THANDA,521,347,1.0
NALGONDA,CHIVVEMLA,PACHYA NAIK THANDA,704,507,2.0
NALGONDA,CHIVVEMLA,PANDYA NAIK THANDA,470,313,1.0
NALGONDA,CHIVVEMLA,ROLLA BANDA THANDA,104,66,
NALGONDA,CHIVVEMLA,THIMMA PUARAM,523,308,3.0
NALGONDA,CHIVVEMLA,THIRUMALAGIRI,682,422,2.0
NALGONDA,CHIVVEMLA,TULJARAO PET,216,131,
NALGONDA,CHIVVEMLA,VALLABHAPUR,505,304,2.0
NALGONDA,CHIVVEMLA,VALYA THANDA,375,311,4.0
NALGONDA,CHIVVEMLA,VATTIKHAMMAM PAHAD,596,375,
NALGONDA,CHOUTUPPAL,ALLAPUR,111,77,
NALGONDA,CHOUTUPPAL,ANKIREDDIGUDEM,287,162,
NALGONDA,CHOUTUPPAL,AREGUDEM,434,273,
NALGONDA,CHOUTUPPAL,CHINNA KONDUR,492,295,
NALGONDA,CHOUTUPPAL,CHOUTUPPAL,1885,937,8.0
NALGONDA,CHOUTUPPAL,DEVALAMMA NAGARAM,609,329,1.0
NALGONDA,CHOUTUPPAL,DHARMOJIGUDA,218,126,
NALGONDA,CHOUTUPPAL,GUNDLABAI GUDEM,233,138,
NALGONDA,CHOUTUPPAL,JAI KESARAM,651,380,
NALGONDA,CHOUTUPPAL,KOYALAGUDA,549,251,
NALGONDA,CHOUTUPPAL,KUNTLAGUDEM,267,155,2.0
NALGONDA,CHOUTUPPAL,LAKKARAM,531,336,2.0
NALGONDA,CHOUTUPPAL,LINGOJI GUDA,373,213,2.0
NALGONDA,CHOUTUPPAL,MAJIDGUDA,202,127,2.0
NALGONDA,CHOUTUPPAL,MALKAPUR,754,416,1.0
NALGONDA,CHOUTUPPAL,MANDOLLAGUDA,291,166,1.0
NALGONDA,CHOUTUPPAL,NELAPATLA,337,203,
NALGONDA,CHOUTUPPAL,PANTHANGI,625,329,1.0
NALGONDA,CHOUTUPPAL,PEDDAKONDUR,262,156,1.0
NALGONDA,CHOUTUPPAL,PEEPAL PAHAD,370,220,
NALGONDA,CHOUTUPPAL,SWAMULAVARI LINGOTAM,515,267,
NALGONDA,CHOUTUPPAL,TALLASINGARAM,344,160,1.0
NALGONDA,CHOUTUPPAL,TANGAD PALLE,1298,729,1.0
NALGONDA,CHOUTUPPAL,TUPRANPET,267,172,
NALGONDA,CHOUTUPPAL,YELLAGIRI,359,203,4.0
NALGONDA,DAMERACHERLA,ADAVI DEVULA PALLI,1199,745,2.0
NALGONDA,DAMERACHERLA,BALAJI THANDA,279,136,1.0
NALGONDA,DAMERACHERLA,BALEEN PALLI,492,314,
NALGONDA,DAMERACHERLA,BOTHALAPALEM,360,152,1.0
NALGONDA,DAMERACHERLA,CHAMPLATHANDA,670,430,5.0
NALGONDA,DAMERACHERLA,CHITYALA,185,141,
NALGONDA,DAMERACHERLA,DAMERACHERLA,1630,856,3.0
NALGONDA,DAMERACHERLA,DILAWARPUR,455,251,
NALGONDA,DAMERACHERLA,GANESH PAHAD,334,230,
NALGONDA,DAMERACHERLA,IRKIGUDEM,342,185,
NALGONDA,DAMERACHERLA,K.J.REDDY COLONY,715,391,
