district_,mandal,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
KHAMMAM,CHERLA,KUDUNURU,359,267.0,1.0,626.0,626.0,42.6517571884984,57.34824281150159,380
KHAMMAM,CHERLA,KURNAVALLY,629,450.0,2.4959349593495936,1079.0,1079.0,41.705282669138086,58.294717330861914,215
KHAMMAM,CHERLA,MOGALLAPALLY,541,417.0,2.0,958.0,958.0,43.528183716075155,56.471816283924845,263
KHAMMAM,CHERLA,PEDAMIDISILERU,1104,833.0,4.0,1937.0,1937.0,43.00464636035105,56.99535363964894,58
KHAMMAM,CHERLA,PEDDIPALLI,568,408.0,2.4959349593495936,976.0,976.0,41.80327868852459,58.19672131147541,254
KHAMMAM,CHERLA,PUSUGUPPA,284,178.0,1.0,462.0,462.0,38.52813852813853,61.471861471861466,455
KHAMMAM,CHERLA,R.KOTHAGUDEM,579,442.0,1.0,1021.0,1021.0,43.29089128305583,56.709108716944165,236
KHAMMAM,CHERLA,SATYANARAYANAPURAM,271,177.0,1.0,448.0,448.0,39.50892857142857,60.49107142857143,461
KHAMMAM,CHERLA,SUBBAMPETA,622,467.0,2.0,1089.0,1089.0,42.88337924701561,57.116620752984396,210
KHAMMAM,CHERLA,TEGADA,855,645.0,2.0,1500.0,1500.0,43.0,56.99999999999999,118
KHAMMAM,CHERLA,UPPERUGUDEM,393,238.0,1.0,631.0,631.0,37.717908082408876,62.28209191759112,377
KHAMMAM,CHINTHAKANI,ANANTHASAGAR,364,228.0,2.4959349593495936,592.0,592.0,38.513513513513516,61.48648648648649,392
KHAMMAM,CHINTHAKANI,BASVAPURAM,280,182.0,1.0,462.0,462.0,39.39393939393939,60.60606060606061,455
KHAMMAM,CHINTHAKANI,BOPPARAM,459,273.0,2.0,732.0,732.0,37.295081967213115,62.704918032786885,342
KHAMMAM,CHINTHAKANI,CHINAMANDAVA,414,270.0,2.0,684.0,684.0,39.473684210526315,60.526315789473685,362
KHAMMAM,CHINTHAKANI,CHINTHAKANI,1048,663.0,1.0,1711.0,1711.0,38.749269433080066,61.250730566919934,83
KHAMMAM,CHINTHAKANI,JAGANNADHAPURAM,210,146.0,1.0,356.0,3798.0,3.8441284886782516,5.529225908372828,1
KHAMMAM,CHINTHAKANI,KODUMUR,583,363.0,2.0,946.0,946.0,38.372093023255815,61.627906976744185,266
KHAMMAM,CHINTHAKANI,KOMATLAGUDEM,478,318.0,2.4959349593495936,796.0,1869.0,17.014446227929376,25.575173889780633,67
KHAMMAM,CHINTHAKANI,LATCHAGUDEM,642,411.0,2.0,1053.0,1053.0,39.03133903133903,60.96866096866097,223
KHAMMAM,CHINTHAKANI,MATHKEPALLI,515,377.0,2.4959349593495936,892.0,892.0,42.26457399103139,57.7354260089686,292
KHAMMAM,CHINTHAKANI,NAGILI KONDA,562,381.0,2.4959349593495936,943.0,943.0,40.402969247083774,59.597030752916226,268
KHAMMAM,CHINTHAKANI,NAGULA VANCHA,1271,792.0,3.0,2063.0,2063.0,38.39069316529326,61.609306834706736,48
KHAMMAM,CHINTHAKANI,NERADA,598,398.0,2.4959349593495936,996.0,996.0,39.959839357429715,60.040160642570285,243
KHAMMAM,CHINTHAKANI,PANDILLAPALLI,409,261.0,2.0,670.0,670.0,38.95522388059702,61.04477611940299,367
KHAMMAM,CHINTHAKANI,PATHARLAPADU,810,506.0,2.0,1316.0,2077.0,24.362060664419836,38.998555609051515,47
KHAMMAM,CHINTHAKANI,PRODDUTUR,768,474.0,1.0,1242.0,1242.0,38.164251207729464,61.83574879227053,170
KHAMMAM,CHINTHAKANI,RAMAKRISHNAPURAM,703,442.0,2.0,1145.0,1145.0,38.60262008733624,61.39737991266375,192
KHAMMAM,CHINTHAKANI,SEETHAMPETA,353,230.0,1.0,583.0,1564.0,14.705882352941178,22.570332480818415,109
KHAMMAM,CHINTHAKANI,THIMMINENIPALEM,563,374.0,1.0,937.0,937.0,39.91462113127001,60.08537886872999,272
KHAMMAM,CHINTHAKANI,VANDANAM,325,213.0,1.0,538.0,538.0,39.5910780669145,60.4089219330855,421
KHAMMAM,DAMMAPETA,AKINEPALLI,729,561.0,2.0,1290.0,1290.0,43.48837209302325,56.51162790697675,160
KHAMMAM,DAMMAPETA,ANKAMPALEM,533,400.0,1.0,933.0,933.0,42.87245444801715,57.12754555198285,274
KHAMMAM,DAMMAPETA,DAMMAPETA,1584,1110.0,2.4959349593495936,2694.0,2694.0,41.202672605790646,58.797327394209354,18
KHAMMAM,DAMMAPETA,GANDHAGULAPALLI,428,317.0,1.0,745.0,745.0,42.5503355704698,57.4496644295302,334
KHAMMAM,DAMMAPETA,GANESHPADU,336,253.0,2.4959349593495936,589.0,589.0,42.95415959252971,57.045840407470294,395
KHAMMAM,DAMMAPETA,JAGGARAM,458,350.0,2.0,808.0,1431.0,24.45842068483578,32.005590496156536,131
KHAMMAM,DAMMAPETA,JAMADARBANJAR,332,252.0,2.0,584.0,584.0,43.15068493150685,56.849315068493155,399
KHAMMAM,DAMMAPETA,LINGALAPALLI,275,215.0,1.0,490.0,490.0,43.87755102040816,56.12244897959183,446
KHAMMAM,DAMMAPETA,MALKARAM,1011,746.0,2.4959349593495936,1757.0,1757.0,42.458736482640866,57.541263517359134,77
KHAMMAM,DAMMAPETA,MANDALAPALLI,771,573.0,3.0,1344.0,1344.0,42.63392857142857,57.36607142857143,143
KHAMMAM,DAMMAPETA,MODDULAGUDEM,499,358.0,2.4959349593495936,857.0,1301.0,27.51729438893159,38.35511145272867,157
KHAMMAM,DAMMAPETA,MONDIVARRE,499,366.0,1.0,865.0,865.0,42.3121387283237,57.6878612716763,299
KHAMMAM,DAMMAPETA,MUSTIBANDA,731,553.0,1.0,1284.0,1284.0,43.068535825545176,56.931464174454824,162
KHAMMAM,DAMMAPETA,NACHARAM,559,373.0,2.4959349593495936,932.0,2261.0,16.497125165855817,24.72357363998231,32
KHAMMAM,DAMMAPETA,NAGUPALLI,559,376.0,2.0,935.0,935.0,40.21390374331551,59.786096256684495,273
KHAMMAM,DAMMAPETA,PATWARIGUDEM,1020,758.0,1.0,1778.0,1778.0,42.63217097862767,57.36782902137233,74
KHAMMAM,DAMMAPETA,PEDDAGOLLAGUDEM,632,435.0,2.4959349593495936,1067.0,1067.0,40.76850984067479,59.231490159325205,219
KHAMMAM,DAMMAPETA,TOTTIPAMPU,345,226.0,2.0,571.0,571.0,39.57968476357268,60.42031523642733,406
KHAMMAM,DUMMUGUDEM,ANJUBAKA,400,296.0,1.0,696.0,696.0,42.5287356321839,57.47126436781609,356
KHAMMAM,DUMMUGUDEM,ARLAGUDEM,516,447.0,1.0,963.0,963.0,46.41744548286604,53.58255451713395,261
KHAMMAM,DUMMUGUDEM,CHINA NALLABELLI,477,352.0,1.0,829.0,829.0,42.46079613992762,57.53920386007238,310
KHAMMAM,DUMMUGUDEM,DUMMUGUDEM,959,671.0,2.0,1630.0,1630.0,41.16564417177914,58.834355828220865,98
KHAMMAM,DUMMUGUDEM,GANGOLU,270,214.0,2.4959349593495936,484.0,484.0,44.214876033057855,55.78512396694215,450
KHAMMAM,DUMMUGUDEM,GOWRARAM,380,297.0,2.4959349593495936,677.0,2794.0,10.62992125984252,13.600572655690765,17
KHAMMAM,DUMMUGUDEM,KASINAGARAM,317,201.0,2.4959349593495936,518.0,518.0,38.803088803088805,61.196911196911195,427
KHAMMAM,DUMMUGUDEM,KOTHAPALLI,701,583.0,2.4959349593495936,1284.0,1284.0,45.40498442367601,54.59501557632399,162
