district,mandal,gp,female,male,transgender
KHAMMAM,DAMMAPETA,TOTTIPAMPU,345,226.0,2.0
KHAMMAM,DUMMUGUDEM,ANJUBAKA,400,296.0,1.0
KHAMMAM,DUMMUGUDEM,ARLAGUDEM,516,447.0,1.0
KHAMMAM,DUMMUGUDEM,CHINA NALLABELLI,477,352.0,1.0
KHAMMAM,DUMMUGUDEM,DUMMUGUDEM,959,671.0,2.0
KHAMMAM,DUMMUGUDEM,GANGOLU,270,214.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,GOWRARAM,380,297.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,KASINAGARAM,317,201.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,KOTHAPALLI,701,583.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,LAXMINAGARAM,258,167.0,2.0
KHAMMAM,DUMMUGUDEM,MAHADEVAPURAM,481,318.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,MARAIGUDEM,982,799.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,NADIKUDI,598,440.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,NARSAPURAM,566,412.0,3.0
KHAMMAM,DUMMUGUDEM,PAIDIGUDEM,607,471.0,2.0
KHAMMAM,DUMMUGUDEM,PARNASALA,742,500.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,PEDAKAMALAPURAM,701,553.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,PEDANALLABALLI,791,539.0,1.0
KHAMMAM,DUMMUGUDEM,PRAGALLAPALLI,399,281.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,RAMARAOPETA,581,406.0,5.0
KHAMMAM,DUMMUGUDEM,SINGAVARAM,394,316.0,2.4959349593495936
KHAMMAM,DUMMUGUDEM,TURUBAKA,562,461.0,2.0
KHAMMAM,ENKURU,ARIKAYALAPADU,203,134.0,1.0
KHAMMAM,ENKURU,BHAGAVAN NAYAK THANDA,301,192.0,2.0
KHAMMAM,ENKURU,BURDA RAGHAVAPURAM,703,448.0,4.0
KHAMMAM,ENKURU,ENKURU,1049,635.0,5.0
KHAMMAM,ENKURU,JANNARAM,739,510.0,1.0
KHAMMAM,ENKURU,KESUPALLI,337,228.0,2.4959349593495936
KHAMMAM,ENKURU,NACHARAM,806,523.0,1.0
KHAMMAM,ENKURU,NUKULAMPADU,275,180.0,1.0
KHAMMAM,ENKURU,RAIMADARAM,479,290.0,1.0
KHAMMAM,ENKURU,RAJA LINGALA,579,412.0,1.0
KHAMMAM,ENKURU,REPALLEVADA,707,480.0,2.4959349593495936
KHAMMAM,ENKURU,SRIRAMGIRI,308,196.0,3.0
KHAMMAM,ENKURU,TIMMARAOPETA,632,418.0,3.0
KHAMMAM,ENKURU,TUTAKALINGANNA PETA,687,421.0,2.0
KHAMMAM,GARLA,BUDDHARAM,387,203.0,3.0
KHAMMAM,GARLA,GARLA,1421,733.0,4.0
KHAMMAM,GARLA,GOPALAPURAM,532,363.0,2.0
KHAMMAM,GARLA,MARRIGUDEM,628,376.0,1.0
KHAMMAM,GARLA,MULKANOOR,1831,1252.0,7.0
KHAMMAM,GARLA,POCHARAM,746,532.0,6.0
KHAMMAM,GARLA,PULLURU,1091,697.0,4.0
KHAMMAM,GARLA,RAMPURAM,565,373.0,2.0
KHAMMAM,GARLA,SEETHAMPETA,603,378.0,5.0
KHAMMAM,GARLA,SERIPURAM,571,407.0,2.4959349593495936
KHAMMAM,GUNDALA,ALLAPALLI,985,737.0,1.0
KHAMMAM,GUNDALA,ANANTHOGU,919,632.0,1.0
KHAMMAM,GUNDALA,GUNDALA,1994,350.0,3.0
KHAMMAM,GUNDALA,MARKODU,1138,796.0,2.0
KHAMMAM,GUNDALA,SAYANNAPALLI,642,488.0,3.0
KHAMMAM,GUNDALA,SETTIPALLI,526,394.0,1.0
KHAMMAM,JULURPAD,ANANTHARAM,375,257.0,1.0
KHAMMAM,JULURPAD,BETHALAPADU,944,731.0,2.0
KHAMMAM,JULURPAD,GUNDEPUDI,1179,794.0,1.0
KHAMMAM,JULURPAD,JULURPAD,548,382.0,3.0
KHAMMAM,JULURPAD,KAKARLA,653,488.0,1.0
