district_,mandal,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
NALGONDA,BHONGIR,MUSTYALAPALLI,183,132,2.3849259757738897,315,315,41.904761904761905,58.0952380952381,745
NALGONDA,BHONGIR,MUTHIREDDIGUDEM,390,259,3.0,649,649,39.907550077041606,60.0924499229584,528
NALGONDA,BHONGIR,NAGIREDDI PALLE,235,138,1.0,373,373,36.99731903485255,63.00268096514745,708
NALGONDA,BHONGIR,NANDANAM,281,124,2.0,405,405,30.617283950617285,69.38271604938272,688
NALGONDA,BHONGIR,NAWATHPALLI,228,150,1.0,378,378,39.682539682539684,60.317460317460316,706
NALGONDA,BHONGIR,PACHARLAPADU THANDA,221,152,2.3849259757738897,373,373,40.75067024128686,59.24932975871313,708
NALGONDA,BHONGIR,PAGADI PALLE,167,90,2.3849259757738897,257,257,35.019455252918284,64.98054474708171,773
NALGONDA,BHONGIR,PENCHIKAL PAHAD,122,65,2.3849259757738897,187,187,34.75935828877005,65.24064171122996,794
NALGONDA,BHONGIR,RAMACHANDRAPUR,111,50,2.3849259757738897,161,389,12.853470437017995,28.53470437017995,699
NALGONDA,BHONGIR,RAYAGIRI,756,421,2.0,1177,1177,35.76890399320306,64.23109600679695,234
NALGONDA,BHONGIR,REDDINAIK THANDA,184,117,2.3849259757738897,301,301,38.87043189368771,61.12956810631229,751
NALGONDA,BHONGIR,SURE PALLE,456,300,2.0,756,756,39.682539682539684,60.317460317460316,454
NALGONDA,BHONGIR,TAJPUR,274,153,2.3849259757738897,427,427,35.831381733021075,64.16861826697892,673
NALGONDA,BHONGIR,TUKKAPUR,503,312,2.0,815,815,38.282208588957054,61.717791411042946,414
NALGONDA,BHONGIR,VEERA VALLY,475,291,2.3849259757738897,766,766,37.989556135770236,62.01044386422977,446
NALGONDA,BHONGIR,WADAPARTHY,292,161,1.0,453,453,35.54083885209713,64.45916114790286,654
NALGONDA,BHONGIR,WADDAIGUDEM,158,107,2.3849259757738897,265,265,40.37735849056604,59.62264150943396,770
NALGONDA,BHONGIR,YERRAM BALLE,126,77,2.3849259757738897,203,203,37.93103448275862,62.06896551724138,790
NALGONDA,BIBINAGAR,ANNAMPATLA,171,98,2.3849259757738897,269,269,36.43122676579926,63.56877323420075,768
NALGONDA,BIBINAGAR,BATTUGUDA,292,190,2.0,482,482,39.41908713692946,60.58091286307054,634
NALGONDA,BIBINAGAR,BIBINAGAR,1216,657,5.0,1873,1873,35.077415910304325,64.92258408969568,65
NALGONDA,BIBINAGAR,BRAHMANA PALLE,469,301,2.3849259757738897,770,770,39.09090909090909,60.909090909090914,443
NALGONDA,BIBINAGAR,CHINARAVULA PALLE,256,145,1.0,401,401,36.15960099750624,63.84039900249376,690
NALGONDA,BIBINAGAR,GOLLAGUDEM,129,97,2.0,226,226,42.92035398230089,57.07964601769911,783
NALGONDA,BIBINAGAR,GUDUR,487,215,6.0,702,1928,11.151452282157678,25.259336099585063,53
NALGONDA,BIBINAGAR,GURRALADANDI,487,357,2.3849259757738897,844,844,42.29857819905213,57.70142180094787,395
NALGONDA,BIBINAGAR,JAIN PALLE,313,192,2.3849259757738897,505,505,38.01980198019802,61.98019801980198,621
NALGONDA,BIBINAGAR,JAM PALLE,286,201,2.0,487,487,41.27310061601643,58.72689938398358,629
NALGONDA,BIBINAGAR,JAMEELAPET,247,167,1.0,414,414,40.33816425120773,59.66183574879227,684
NALGONDA,BIBINAGAR,JIYAPALLE,249,175,1.0,424,424,41.27358490566038,58.72641509433962,676
NALGONDA,BIBINAGAR,KONDAMADUGU,790,440,4.0,1230,1230,35.77235772357724,64.22764227642277,218
NALGONDA,BIBINAGAR,LAXMIDEVI GUDA,94,55,1.0,149,149,36.91275167785235,63.08724832214765,800
NALGONDA,BIBINAGAR,MADHARAM,218,119,2.3849259757738897,337,337,35.311572700296736,64.68842729970326,732
NALGONDA,BIBINAGAR,MAKTHA ANANTHARAM,285,141,2.3849259757738897,426,426,33.098591549295776,66.90140845070422,674
NALGONDA,BIBINAGAR,MAQDOOM PALLE,251,146,2.3849259757738897,397,397,36.775818639798494,63.22418136020151,694
NALGONDA,BIBINAGAR,NEMARUGOMULA,477,286,1.0,763,763,37.48361730013106,62.516382699868934,449
NALGONDA,BIBINAGAR,PADAMATI SOMARAM,286,154,2.3849259757738897,440,440,35.0,65.0,664
NALGONDA,BIBINAGAR,PALLEGUDEM,80,45,2.3849259757738897,125,125,36.0,64.0,804
NALGONDA,BIBINAGAR,RAGHAVAPUR,282,151,2.0,433,2062,7.322987390882638,13.676042677012608,39
NALGONDA,BIBINAGAR,RAHEEM KHAN GUDA,171,82,2.3849259757738897,253,253,32.41106719367589,67.58893280632411,775
NALGONDA,BIBINAGAR,RAMUNIGUNDLA THANDA,185,152,2.3849259757738897,337,337,45.103857566765576,54.89614243323442,732
NALGONDA,BIBINAGAR,RAVI PAHAD,251,167,2.3849259757738897,418,1976,8.451417004048583,12.70242914979757,46
NALGONDA,BIBINAGAR,RAYARAOPET,210,99,2.3849259757738897,309,309,32.038834951456316,67.96116504854369,748
NALGONDA,BIBINAGAR,RUDRA VELLY,221,128,2.3849259757738897,349,349,36.67621776504298,63.323782234957015,723
NALGONDA,BIBINAGAR,VENKIRYAL,652,422,2.3849259757738897,1074,1074,39.29236499068901,60.70763500931099,279
NALGONDA,BOMMALARAMARAM,BANDAKADI PALLE,183,98,2.3849259757738897,281,281,34.87544483985765,65.12455516014235,762
NALGONDA,BOMMALARAMARAM,BOINAPALLY,149,88,2.3849259757738897,237,237,37.130801687763714,62.869198312236286,780
NALGONDA,BOMMALARAMARAM,BOMMALARAMARAM,524,283,1.0,807,807,35.06815365551425,64.93184634448575,421
NALGONDA,BOMMALARAMARAM,CHEEKATI MAMIDI,318,187,2.0,505,1657,11.28545564272782,19.191309595654797,107
NALGONDA,BOMMALARAMARAM,CHOUDARPALLI,329,210,2.3849259757738897,539,539,38.961038961038966,61.038961038961034,600
NALGONDA,BOMMALARAMARAM,HAZIPUR,373,190,4.0,563,563,33.747779751332146,66.25222024866785,584
NALGONDA,BOMMALARAMARAM,JALALPUR,481,243,2.0,724,724,33.56353591160221,66.4364640883978,476
NALGONDA,BOMMALARAMARAM,KANCHALTHANDA,265,219,2.3849259757738897,484,484,45.24793388429752,54.75206611570248,632
NALGONDA,BOMMALARAMARAM,KANDLAKUNTA THANDA,405,317,2.0,722,722,43.905817174515235,56.094182825484765,478
NALGONDA,BOMMALARAMARAM,LAXMI THANDA,520,391,2.0,911,911,42.9198682766191,57.0801317233809,363
NALGONDA,BOMMALARAMARAM,MACHANPALLI,255,188,2.3849259757738897,443,443,42.43792325056434,57.56207674943566,662
NALGONDA,BOMMALARAMARAM,MAILARAM,359,229,2.0,588,588,38.945578231292515,61.05442176870748,565
NALGONDA,BOMMALARAMARAM,MALYALA,244,124,2.0,368,368,33.69565217391305,66.30434782608695,711
NALGONDA,BOMMALARAMARAM,MARYALA,470,216,2.3849259757738897,686,686,31.486880466472307,68.5131195335277,503
NALGONDA,BOMMALARAMARAM,MEDIPALLI,397,221,2.3849259757738897,618,618,35.760517799352755,64.23948220064725,550
NALGONDA,BOMMALARAMARAM,NAGENENIPALLI,385,272,2.3849259757738897,657,657,41.400304414003045,58.599695585996955,523
NALGONDA,BOMMALARAMARAM,PEDDAPARVATHAPUR,220,128,2.3849259757738897,348,348,36.7816091954023,63.2183908045977,724
NALGONDA,BOMMALARAMARAM,PILLIGUNDLA THANDA,281,209,2.3849259757738897,490,490,42.6530612244898,57.3469387755102,627
NALGONDA,BOMMALARAMARAM,PYARARAM,386,278,1.0,664,664,41.86746987951807,58.13253012048193,518
NALGONDA,BOMMALARAMARAM,RAMLINGAMPALLI,259,142,1.0,401,401,35.41147132169576,64.58852867830423,690
NALGONDA,BOMMALARAMARAM,RANGAPURAM,125,83,1.0,208,208,39.90384615384615,60.09615384615385,788
NALGONDA,BOMMALARAMARAM,SOLIPETA,221,122,2.3849259757738897,343,343,35.56851311953353,64.43148688046647,728
NALGONDA,BOMMALARAMARAM,THIMMA PURAM,374,286,3.0,660,660,43.333333333333336,56.666666666666664,521
NALGONDA,BOMMALARAMARAM,THUMUKUNTA,225,118,1.0,343,343,34.40233236151604,65.59766763848397,728
NALGONDA,BOMMALARAMARAM,TIRUMALGIRI,210,138,3.0,348,348,39.6551724137931,60.3448275862069,724
NALGONDA,CHANDAM PET,BATCHAPUR,322,233,2.3849259757738897,555,555,41.98198198198198,58.01801801801801,590
NALGONDA,CHANDAM PET,CHANDAMPET,559,386,1.0,945,945,40.84656084656085,59.15343915343916,345
NALGONDA,CHANDAM PET,CHINNA MUNAGAL,404,338,2.3849259757738897,742,742,45.55256064690027,54.44743935309974,464
NALGONDA,CHANDAM PET,CHITRIYALA,866,645,2.3849259757738897,1511,1511,42.68696227663799,57.313037723362015,140
NALGONDA,CHANDAM PET,GAGILLAPUR,798,578,2.0,1376,1376,42.00581395348838,57.99418604651163,173
NALGONDA,CHANDAM PET,KACHARAJ PALLI,657,437,3.0,1094,1094,39.945155393053014,60.054844606946986,269
NALGONDA,CHANDAM PET,KAMBALA PALLI,1337,284,2.3849259757738897,1621,1621,17.520049352251696,82.4799506477483,117
NALGONDA,CHANDAM PET,KOTHA PALLI,831,587,2.0,1418,1418,41.39633286318759,58.60366713681241,156
NALGONDA,CHANDAM PET,MUDUDONDLA,703,468,2.0,1171,1171,39.96584116140051,60.03415883859948,236
NALGONDA,CHANDAM PET,MURPUNUTHALA,622,455,3.0,1077,1077,42.246982358402974,57.753017641597026,278
NALGONDA,CHANDAM PET,NERADUGOMMU,463,284,2.3849259757738897,747,747,38.01874163319947,61.98125836680054,459
NALGONDA,CHANDAM PET,PEDDAMOOLA,338,218,2.3849259757738897,556,556,39.20863309352518,60.79136690647482,589
NALGONDA,CHANDAM PET,PEDDAMUNIGAL,410,242,1.0,652,652,37.11656441717792,62.88343558282209,526
NALGONDA,CHANDAM PET,POGILLA,383,304,2.0,687,687,44.25036390101892,55.74963609898108,502
NALGONDA,CHANDAM PET,POLE PALLI,1437,919,2.0,2356,2356,39.006791171477076,60.99320882852292,21
NALGONDA,CHANDAM PET,REKULA GADDA,349,220,1.0,569,569,38.664323374340945,61.335676625659055,579
NALGONDA,CHANDAM PET,THELDEVARA PALLI,1153,792,2.3849259757738897,1945,1945,40.71979434447301,59.280205655527,49
NALGONDA,CHANDAM PET,TIMMAPURAM,505,333,2.3849259757738897,838,838,39.73747016706444,60.26252983293556,399
NALGONDA,CHANDAM PET,YALMALA MANDA,557,401,2.0,958,958,41.8580375782881,58.1419624217119,340
NALGONDA,CHANDUR,ANGADIPETA,477,265,2.3849259757738897,742,742,35.714285714285715,64.28571428571429,464
NALGONDA,CHANDUR,BANGARIGADDA,685,388,3.0,1073,1073,36.16029822926375,63.839701770736255,280
NALGONDA,CHANDUR,BODANGI PARTHY,403,234,2.3849259757738897,637,637,36.734693877551024,63.26530612244898,537
NALGONDA,CHANDUR,CHANDUR,463,853,2.0,1316,1316,64.8176291793313,35.18237082066869,192
NALGONDA,CHANDUR,DONIPAMULA,670,438,2.3849259757738897,1108,1108,39.53068592057762,60.46931407942239,261
NALGONDA,CHANDUR,GHATTUPPAL,1207,603,4.0,1810,1810,33.31491712707182,66.68508287292818,74
NALGONDA,CHANDUR,GUDREPALLE,451,247,1.0,698,698,35.38681948424069,64.61318051575931,492
NALGONDA,CHANDUR,IDIKUDA,448,294,4.0,742,742,39.62264150943396,60.37735849056604,464
NALGONDA,CHANDUR,KASTHALA,664,417,1.0,1081,1081,38.575393154486584,61.424606845513416,275
NALGONDA,CHANDUR,KONDAPURAM,500,301,1.0,801,1754,17.160775370581526,28.506271379703534,89
NALGONDA,CHANDUR,NERMATA,452,314,3.0,766,766,40.992167101827675,59.00783289817232,446
NALGONDA,CHANDUR,PULLEMLA,643,389,1.0,1032,1032,37.6937984496124,62.3062015503876,299
NALGONDA,CHANDUR,SIRDEPALLE,324,213,2.3849259757738897,537,537,39.66480446927375,60.33519553072626,601
NALGONDA,CHANDUR,TERATPALLY,879,516,2.0,1395,1395,36.98924731182795,63.01075268817205,164
