district_,mandal,muncipality,wardname,female,male,transgender,total_illiterates,total_illiterates_by_ward,percentage_male,percentage_female,rank_by_illiterates
RANGA REDDY,SAROORNAGAR,Badangpet,Bandangpet-5,534,312,1.0,846,846,36.87943262411347,63.12056737588653,30
RANGA REDDY,SAROORNAGAR,Badangpet,Bandangpet-6,309,191,2.0,500,500,38.2,61.8,41
RANGA REDDY,SAROORNAGAR,Badangpet,Gurramguda,547,344,2.458333333333333,891,891,38.60830527497194,61.39169472502806,28
RANGA REDDY,SAROORNAGAR,Badangpet,Kurmalguda,208,142,1.0,350,350,40.57142857142857,59.42857142857143,47
RANGA REDDY,SAROORNAGAR,Badangpet,Mamidipally-15,676,490,2.0,1166,1166,42.02401372212693,57.97598627787307,20
RANGA REDDY,SAROORNAGAR,Badangpet,Mamidipally-16,297,225,2.458333333333333,522,522,43.103448275862064,56.896551724137936,40
RANGA REDDY,SAROORNAGAR,Badangpet,Nadergul ,1636,1017,6.0,2653,2653,38.33396155295891,61.66603844704108,1
RANGA REDDY,SAROORNAGAR,Badangpet,Venkatapur ,593,418,2.458333333333333,1011,1011,41.34520276953511,58.65479723046489,24
RANGA REDDY,SAROORNAGAR,Badangpet,Venkatapur Part & Balapur Part ,439,287,1.0,726,726,39.531680440771346,60.46831955922865,35
RANGA REDDY,TANDUR,Tandur,Revenue Ward No  4,489,245,2.0,734,1179,20.780322307039864,41.475826972010175,18
RANGA REDDY,TANDUR,Tandur,Revenue Ward No  5,754,513,1.0,1267,1841,27.86529060293319,40.95600217273221,5
RANGA REDDY,TANDUR,Tandur,Revenue Ward No  6,681,442,1.0,1123,1178,37.521222410865875,57.80984719864176,19
RANGA REDDY,TANDUR,Tandur,Revenue Ward No  7,338,229,2.0,567,1415,16.18374558303887,23.886925795053003,9
RANGA REDDY,TANDUR,Tandur,Revenue Ward No  8,2154,172,2.458333333333333,2326,2326,7.394668959587274,92.60533104041274,3
RANGA REDDY,TANDUR,Tandur,Revenue Ward No 1,273,172,2.458333333333333,445,445,38.651685393258425,61.348314606741575,44
RANGA REDDY,TANDUR,Tandur,Revenue Ward No 2,1449,925,6.0,2374,2374,38.96377422072452,61.03622577927549,2
RANGA REDDY,TANDUR,Tandur,Revenue Ward No 3,238,130,2.0,368,368,35.32608695652174,64.67391304347827,46
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  1,396,212,1.0,608,608,34.868421052631575,65.13157894736842,38
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  2,554,351,3.0,905,905,38.78453038674033,61.215469613259664,27
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  3,374,184,1.0,558,558,32.97491039426524,67.02508960573476,39
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  4,273,172,8.0,445,1179,14.58863443596268,23.155216284987276,18
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  5,358,216,2.458333333333333,574,1841,11.732753938077133,19.44595328625747,5
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  6,37,18,2.458333333333333,55,1178,1.5280135823429541,3.1409168081494054,19
RANGA REDDY,VICARABAD,Vikarabad,Revenue Ward No  7,590,258,1.0,848,1415,18.23321554770318,41.69611307420495,9
